1274,112,25.68,2021-04-14 20:13:29,48771
1290,112,22.47,2021-04-17 21:18:42,49943
1291,112,1.85,2021-04-17 21:33:49,49954
83,114,25.00,2020-12-05 15:36:58,NULL
84,115,25.00,2020-12-05 20:16:17,NULL
119,118,17.66,2021-01-09 18:09:20,NULL
120,118,9.00,2021-01-09 18:10:27,NULL
140,118,13.34,2021-01-27 18:51:13,NULL
129,119,40.00,2021-01-19 19:13:41,NULL
93,120,29.99,2020-12-19 19:45:52,NULL
2206,121,19.00,2024-01-12 19:28:41,338172
2214,121,18.00,2024-01-19 19:16:17,340337
85,122,17.12,2020-12-10 17:41:00,NULL
1551,122,22.88,2022-02-02 17:21:26,122320
86,123,46.25,2020-12-10 18:39:56,NULL
90,123,40.66,2020-12-17 18:14:57,NULL
111,123,13.09,2021-01-08 18:09:28,NULL
123,126,25.00,2021-01-14 16:38:43,NULL
87,127,25.00,2020-12-11 18:14:04,NULL
88,128,25.68,2020-12-11 19:36:26,NULL
1513,128,16.05,2022-01-06 14:38:23,115579
1514,128,-16.05,2022-01-06 14:42:11,NULL
1623,128,18.19,2022-03-31 15:35:00,139150
1624,128,-18.19,2022-03-31 15:46:27,NULL
2159,128,24.32,2023-12-16 17:50:40,329630
2160,128,-16.00,2023-12-16 17:55:14,NULL
2161,128,16.00,2023-12-16 18:05:25,329694
89,129,10.00,2020-12-12 13:38:42,NULL
1569,131,36.38,2022-02-12 12:37:58,125221
1518,132,45.48,2022-01-08 17:26:34,116449
100,133,35.00,2020-12-29 16:55:34,NULL
1617,134,24.59,2022-03-26 20:10:11,138211
1363,135,16.00,2021-06-25 12:44:52,66475
2158,137,60.00,2023-12-16 17:37:32,329606
1400,138,10.00,2021-07-31 20:59:57,76571
1401,138,20.00,2021-07-31 21:00:33,NULL
1737,139,30.00,2022-08-10 13:05:27,177139
1387,140,22.26,2021-07-22 19:00:24,73713
1384,141,30.00,2021-07-17 21:05:54,72744
1379,142,22.47,2021-07-17 12:41:29,72353
1613,142,7.53,2022-03-25 13:42:26,137312
124,144,30.00,2021-01-14 17:11:38,NULL
103,145,20.00,2020-12-30 15:01:10,NULL
1759,146,23.54,2022-09-16 13:18:05,188251
1795,146,26.46,2022-11-08 19:00:47,203388
2219,147,40.00,2024-01-25 14:08:51,341928
115,149,30.00,2021-01-08 20:47:12,NULL
2195,150,20.00,2024-01-06 15:54:21,336473
91,151,21.40,2020-12-19 12:59:24,NULL
96,151,3.60,2020-12-23 17:40:36,NULL
1297,152,25.00,2021-04-21 17:49:45,50376
92,153,40.00,2020-12-19 19:22:04,NULL
145,154,41.73,2021-01-29 19:26:06,NULL
1336,154,8.27,2021-05-21 15:59:01,58058
94,155,38.52,2020-12-22 12:03:12,NULL
95,155,6.00,2020-12-22 12:08:28,NULL
