OrderId,CustomerId,ReadyDateTimeInfo,LocationInfo,DeliveryDateTime,EmployeeIdOfDriver,IsOffSite,ManagerNote,NumPeople,PricePerPerson,PriceAdjust,DeliveryFee,MiscFee,ServiceFeePercent,TaxPriceAdjust,NumPizzaPeople,NumSaladPeople,NumDessertPeople,PricePerPizzaPerson,PricePerSaladPerson,PricePerDessertPerson,DoughCount,DressingCount,DessertCount,KitchenPrepNote,DessertNote,LSENote
199286,103,ZACK??!!,First Magnitude,2022-10-27 17:15:50.9890000,NULL,0,,0.00,0.00,0.00,0.00,0.00,20.00,0,50.00,50.00,0.00,9.00,3.00,2.50,16,5,,,,
199416,169,Ed & Marcia,"UTP,Greenhouse, all of it",2022-10-27 18:30:41.9860000,NULL,0,,0.00,0.00,0.00,0.00,275.00,20.00,0,52.00,203.00,52.00,9.00,3.00,2.50,14,4,100,,"cookies, brownies, bonbons and an entire chocolate cake please","Preordered wine, beer and sodas - there is a separate note"
199754,170,BRIAN,NEWELL,2022-10-28 11:00:44.6790000,NULL,0,,0.00,0.00,0.00,0.00,0.00,20.00,0,50.00,0.00,0.00,9.00,3.00,2.50,15,,,NO SALAD,,
199981,171,PICK UP,5pm here,2022-11-04 17:00:49.1430000,NULL,0,,0.00,0.00,0.00,0.00,0.00,15.00,0,30.00,30.00,30.00,9.00,3.00,2.50,10,3,60,,,
200079,173,UTP,,2022-10-28 17:15:26.8860000,NULL,0,,0.00,0.00,0.00,0.00,50.00,20.00,0,25.00,25.00,0.00,9.00,3.00,2.50,7,2,,,,
201323,155,Brian,McKnight,2022-11-03 12:15:58.6100000,NULL,0,,0.00,0.00,0.00,0.00,0.00,20.00,0,20.00,20.00,20.00,9.00,3.00,2.50,5,2,40,,Brownies and Bonbons,
201346,175,Charity & Lou's Baby,UTP & Party Booth,2022-11-05 11:35:57.8000000,NULL,0,,0.00,0.00,0.00,0.00,150.00,20.00,0,41.00,41.00,41.00,9.00,3.00,2.50,11,4,85,,,"RUN A TAB IN LSE FOR DRINKS ""Charity & Lou's friends"""
201803,176,Brian? Satchel?,Reitz Union,2022-11-04 10:45:29.2000000,NULL,0,,0.00,0.00,0.00,0.00,0.00,20.00,0,122.22,0.00,0.00,9.00,3.00,2.50,37,,,Cut Larges into 6s - Cut vegan and MFP into 8s = 232 pieces - Trying to leave here by 10:45/10:55 - NO SALAD,,
202102,177,PICK UP,DONATION,2022-11-05 13:45:10.5510000,NULL,0,,0.00,0.00,0.00,0.00,0.00,20.00,0,0.00,0.00,0.00,9.00,3.00,2.50,10,,,DONATION,,
202236,178,352-316-3483,Under The Plane,2022-11-09 18:30:54.8640000,NULL,0,,0.00,0.00,0.00,0.00,100.00,20.00,0,17.00,20.00,10.00,9.00,3.00,2.50,5,,20,,ten bonbons/ten brownie bites,"One drink ticket per person wine, beer or soda - add 2 tab thru menu/drinks"
