48,Roasted Red Pepper,195.00,32.00,RRP,RRP,0,0,0,0,1,1,0,0,1,0,0,0,1,0.00,0,1
49,Sausage,200.00,16.50,Sausage,Sausg,1,0,0,0,1,1,0,0,1,0,0,0,1,0.00,0,1
50,Slice Cut In Half Same Plate,205.00,57.00,Slice Cut in Half Same Plate,slice cut in half same plate,0,0,0,0,1,0,0,1,0,1,0,1,7,0.00,0,1
51,Slice Cut in Half Separate Plate,210.00,58.00,Slice Cut in Half Separate Plate,slice cut in half sep plate,0,0,0,0,1,0,0,1,0,1,0,1,7,0.00,0,1
52,Takeout Bring To Table,215.00,60.00,T/O Bring 2 Tbl,TAKEOUT-BRING2TABLE,0,0,0,0,1,1,1,0,0,1,0,0,7,0.00,1,1
53,Takeout Keep In Kitchen,220.00,61.00,T/O Keep Kitch,TAKEOUT-KEEPINKITCH,0,0,0,0,1,1,1,0,0,1,0,0,7,0.00,1,1
54,TEESE,225.00,10.00,TEESE,TEESE,0,0,0,0,1,1,0,0,0,0,0,0,3,0.00,1,0
55,Tempeh BBQ,230.00,26.00,Tempeh BBQ,Tempeh BBQ,0,0,0,0,1,1,0,0,1,0,0,0,1,0.00,0,1
56,Tempeh Original,235.00,24.00,Tempeh Original,Tempeh Original,0,0,0,0,1,1,0,0,1,0,0,0,1,0.00,0,0
57,Onion (Pizza/Calzone),163.50,21.00,Onion,Onion,1,0,0,0,1,1,0,0,1,0,0,0,1,0.00,0,1
58,Pepperoni,166.00,13.00,Pepperoni,Roni,1,0,0,0,1,1,0,0,1,0,0,0,1,0.00,0,1
60,Spinach,212.00,12.00,Spinach,Spin,0,0,0,0,1,1,0,0,1,0,0,0,1,0.00,0,1
61,Steak,213.00,17.00,Steak,Stk,0,0,0,0,1,1,0,0,1,0,0,0,1,0.00,0,1
62,Sundried Tomatoes,214.00,30.00,Sundried Toms,Sun,0,0,0,0,1,1,0,0,1,0,0,0,1,0.00,0,1
63,Tomatoes (Pizza),237.00,31.00,Tomatoes,Toms,0,0,0,0,1,1,0,0,0,0,0,0,1,0.00,0,1
64,White Base,270.00,2.00,White Base,WHITE BASE,0,0,1,0,0,0,0,1,0,1,0,2,8,0.00,1,1
65,Zucchini,300.00,26.50,Zucchini,Zuc,0,0,0,0,1,1,0,0,1,0,0,0,1,0.00,0,1
