220,12888,1,4.00," - Discount entered by Erienne.",1
221,12905,1,5.50," - Discount entered by Erienne.",1
222,12938,1,8.25," - Discount entered by Erienne.",1
223,12939,1,1.50," - Discount entered by Erienne.",1
224,13039,1,4.50," - Discount entered by Scott.",5
225,13061,1,5.50," - Discount entered by Danny.",4
226,13211,1,9.75," - Discount entered by Wade.",1
227,13410,1,8.25," - Discount entered by Erienne.",1
228,13413,1,1.50," - Discount entered by Erienne.",1
229,13358,1,8.25," - Discount entered by Erienne.",1
230,13383,1,8.25," - Discount entered by Erienne.",1
231,13442,1,5.50," - Discount entered by Erienne.",1
232,13443,1,6.00," - Discount entered by Erienne.",1
233,13567,1,5.50," - Discount entered by Danny.",4
235,13768,1,14.50," - Discount entered by Wade.",2
236,13779,1,6.50," - Discount entered by Wade.",1
237,13783,1,10.00,ashleyo - Discount entered by Ashley H.,4
238,13911,1,5.00," - Discount entered by Erienne.",1
239,13912,1,5.00," - Discount entered by Erienne.",1
240,13902,1,4.50," - Discount entered by Erienne.",1
241,14037,1,5.50," - Discount entered by Danny.",4
242,14013,3,14.00,re mike - Discount entered by Erienne.,1
243,13936,2,14.50,caroline - Discount entered by Wade.,1
244,14282,1,9.75," - Discount entered by Wade.",1
245,14283,1,1.50," - Discount entered by Wade.",1
246,14293,1,13.00," - Discount entered by Wade.",1
247,14297,1,13.00," - Discount entered by Wade.",1
248,14188,1,10.50," - Discount entered by Wade.",4
249,14443,1,9.75," - Discount entered by Erienne.",1
250,14560,1,10.50," - Discount entered by Erienne.",1
251,14419,1,10.50,Breezy o - Discount entered by Danny.,4
252,14593,1,5.50,dannyo - Discount entered by Danny.,4
253,15057,3,18.00,band - Discount entered by Danny.,4
254,15157,1,4.00,ashleyo - Discount entered by Danny.,5
255,15165,3,3.50,danny o - Discount entered by Danny.,5
256,15166,1,14.50," - Discount entered by Wade.",1
257,14735,2,21.00,cada - Discount entered by Wade.,1
258,15156,1,7.00," - Discount entered by Wade.",1
259,15173,1,4.00," - Discount entered by Wade.",1
260,15175,1,7.50," - Discount entered by Wade.",1
261,15186,1,5.50," - Discount entered by Wade.",1
262,15326,4,0.56," - Discount entered by Erienne.",1
263,15327,4,0.00," - Discount entered by Erienne.",1
264,15328,4,1.20," - Discount entered by Erienne.",1
265,15334,4,0.45," - Discount entered by Erienne.",1
266,15335,4,0.40," - Discount entered by Erienne.",1
267,15336,4,0.50," - Discount entered by Erienne.",1
268,15337,4,1.60," - Discount entered by Erienne.",1
269,15338,4,1.00," - Discount entered by Erienne.",1
270,15735,1,6.00," - Discount entered by Erienne.",2
271,15737,1,4.00," - Discount entered by Erienne.",2
272,15738,1,4.00," - Discount entered by Erienne.",2
273,15760,1,10.00," - Discount entered by Erienne.",2
274,15720,1,8.25," - Discount entered by Erienne.",2
275,15722,1,1.50," - Discount entered by Erienne.",2
276,15832,3,5.00,band - Discount entered by Danny.,4
277,15822,1,8.00," - Discount entered by Wade.",1
278,15817,1,13.00," - Discount entered by Wade.",1
279,15898,1,8.63," - Discount entered by Wade.",2
