MenuItemId,DisplayName,ShortName,DisplaySequence,BasePrice,MenuItemCategoryId,RevenueCategoryId,Taxable,Alcohol,IsActive,IsAutoSent,TaxIncludedInPrice,ClassNameInternalUse,Color,PrinterId,Slice,CateringNoCost,LunchSpecial,AllowSizeChangeTo
174,Catering 1NT,Catering 1NT,0.00,7.50,1021,9,0,0,1,0,0,CateringItem,NULL,0,0,0,0,0
175,Catering 2NT,Catering 2NT,0.00,9.00,1021,9,0,0,1,0,0,CateringItem,NULL,0,0,0,0,0
176,Catering 3NT,Catering 3NT,0.00,10.50,1021,9,0,0,1,0,0,CateringItem,NULL,0,0,0,0,0
177,Extra P Sauce O/S,Extra P Sauce O/S,9.00,1.50,11,1,1,0,1,0,0,Side,NULL,6,0,0,0,0
178,Garlic Butter O/S,Garlic Butter O/S,3.00,1.50,11,1,1,0,1,0,0,Side,NULL,6,0,0,0,0
179,Extra Dressing O/S,Extra Dressing O/S,1.00,2.00,11,1,1,0,1,0,0,Side,NULL,7,0,0,0,0
180,Pesto O/S ($4),Pesto O/S,7.00,4.00,11,1,1,0,1,0,0,Side,NULL,6,0,0,0,0
181,LSE Draft Pint,LSE Draft Pint,2.00,6.00,1024,3,1,1,1,1,0,Drink,Orange,0,0,0,0,0
182,$5 Beer,$5 Beer,0.00,5.00,1024,3,1,1,1,1,0,Drink,Orange,0,0,0,0,0
183,$6 Wine,$6 Beer,0.00,6.00,1024,3,1,1,1,1,0,Drink,White,0,0,0,0,0
184,$5 Wine,$5 Wine,0.00,5.00,1024,3,1,1,1,1,0,Drink,White,0,0,0,0,0
185,Pitcher Beer,"Pitcher ",0.00,22.00,1024,3,1,1,1,1,0,Drink,Orange,0,0,0,0,0
186,Soda,Soda,0.00,3.00,1025,2,1,0,1,1,0,Drink,Orange,0,0,0,0,0
188,Miscellaneous Drink Non/Alcohol,Drinks N/A,0.00,999.00,1025,2,1,0,1,1,0,Miscellaneous,NULL,0,0,0,0,0
190,Topping Side Small,SideSm,0.00,2.50,1029,1,1,0,1,0,0,Side,NULL,0,0,0,0,0
191,Topping Side Large,SideLg,0.00,3.50,1029,1,1,0,1,0,0,Side,NULL,0,0,0,0,0
193,Spec Slice,Spec Slice,0.00,3.75,7,1,1,0,1,0,0,Pizza,NULL,6,1,0,1,0
194,Spec Salad,Spec Salad,10.00,5.25,9,1,1,0,1,0,0,Salad,LightGreen,7,0,0,0,0
195,Tiny MFP,Tiny MFP,6.00,7.00,7,1,1,0,1,0,0,Pizza,Orange,6,0,0,0,0
196,Pesto O/S Large,Pesto O/S,8.00,6.00,11,1,1,0,0,0,0,Side,NULL,6,0,0,0,0
199,Extra P Sauce O/S Large,Extra P Sauce O/S,10.00,3.00,11,1,1,0,0,0,0,Side,NULL,6,0,0,0,0
201,Garlic Butter O/S Large,Garlic Butter O/S,4.00,3.00,11,1,1,0,0,0,0,Side,NULL,6,0,0,0,0
203,***2X*** Extra D.O.S.,***2X*** Extra D.O.S.,2.00,4.00,11,1,1,0,0,0,0,Side,NULL,7,0,0,0,0
204,Misc Small Side (.50),Misc Side,5.00,0.50,11,1,1,0,1,0,0,Side,NULL,6,0,0,0,0
205,Misc Medium Side ($1),Misc Side,6.00,1.00,11,1,1,0,1,0,0,Side,NULL,6,0,0,0,0
206,Miscellaneous Food - NO TAX,Misc Food No Tax,0.00,999.00,1022,7,0,0,0,0,0,Miscellaneous,NULL,0,0,0,0,0
207,Miscellaneous Alcohol,Misc Alcohol,0.00,999.00,1024,3,1,1,1,1,0,Miscellaneous,NULL,0,0,0,0,0
208,Miscellaneous Merchandise,Misc Merch,20.00,999.00,12,4,1,0,1,1,0,Miscellaneous,NULL,0,0,0,0,0
210,Branded,Branded,0.00,999.00,12,4,1,0,1,1,0,Merchandise,NULL,0,0,0,0,0
211,Toy,Toy,0.00,999.00,12,4,1,0,1,1,0,Merchandise,NULL,0,0,0,0,0
212,Buck,Buck,0.00,1.00,12,4,1,0,1,1,1,Merchandise,NULL,0,0,0,0,0
214,Catering Delivery Fee NonTaxed,Catering Delivery Fee NT,0.00,999.00,1021,9,0,0,1,1,0,CateringItem,NULL,0,0,0,0,0
215,Square,Square,15.00,10.00,7,1,1,0,0,0,0,Pizza,Orange,6,0,0,0,0
216,SPEC SATCHPAN SLICE,SPEC SATCHPAN SLICE,0.00,3.90,21,1,1,0,1,0,0,Pizza,NULL,6,1,0,1,0
217,SatchStix,Stix,13.00,6.00,11,1,1,0,0,0,0,Side,Red,6,0,0,0,0
218,Cheese Calzone,"Zone      ",0.00,13.00,8,1,1,0,1,0,0,Calzone,LightYellow,6,0,0,0,0
219,Pinot Noir (Bottle),PNoir,8.50,24.00,5,3,1,1,1,1,0,Drink,Red,0,0,0,0,0
220,LSE Carrot Cake Slice,LSECrtCk,0.30,4.00,10,1,1,0,1,1,0,Dessert,Tan,7,0,0,0,0
221,LSE Cookie,LSECkie,0.45,3.00,20,1,1,0,1,1,0,Dessert,Orange,7,0,0,0,0
222,Catering Misc Fee NonTaxed,Catering Misc NT,0.00,999.00,1021,9,0,0,1,1,0,CateringItem,NULL,0,0,0,0,0
223,Mich Utra Can,M Ultra,0.00,5.00,3,3,1,1,1,1,0,Drink,Orange,0,0,0,0,0
224,Tammy Ranch,Tammy Ranch,13.00,2.00,11,1,1,0,1,0,0,Side,Red,0,0,0,0,0
225,Mich Ultra,Mich,0.00,4.00,3,3,1,1,0,1,0,Drink,Orange,0,0,0,0,0
226,Luna Lager Pint,"Lager     ",4.00,7.00,2,3,1,1,0,1,0,Drink,Orange,0,0,0,0,0
227,Specialty Draft Pitcher,Spec Draft,0.00,24.00,18,3,1,1,1,1,0,Drink,Orange,0,0,0,0,0
228,Mich Ultra,Mich,0.00,4.00,2,3,1,1,0,1,0,Drink,Orange,0,0,0,0,0
229,Mich Ultra,Mich,0.00,15.00,18,3,1,1,0,1,0,Drink,Orange,0,0,0,0,0
230,Metal Cup Draft,Metal Cup Draft,9.00,10.00,3,3,1,1,1,1,0,Drink,Orange,0,0,0,0,0
231,Long Drink,Long Drink,8.00,5.00,3,3,1,1,1,1,0,Drink,Orange,0,0,0,0,0
232,Night Spec for 1,"Night Spec ",13.00,5.25,9,1,1,0,1,0,0,Salad,LightGreen,7,0,0,0,0
233,Metal Cup,Metal Cup,39.00,4.00,12,4,1,0,1,1,0,Merchandise,NULL,0,0,0,0,0
234,$1 Dessert,$1 Dessert,0.00,1.00,10,1,1,0,1,1,0,Dessert,Tan,0,0,0,0,0
235,$1.50 Dessert,$1.50 Dessert,0.00,1.50,10,1,1,0,1,1,0,Dessert,Tan,0,0,0,0,0
236,Coors Light 24,Coors,50.00,6.00,3,3,1,1,0,1,0,Drink,NULL,0,0,0,0,0
